variable,nb_na,pct_na
...3,1543025,63.4828784143608
lib_gen_num,1381790,56.84937480869047
GEN_NUM,1376902,56.64827352407785
region,175764,7.231253311917637
lib_cip13,60969,2.508376477403259
lib_atc4,1151,0.04735425093885665
L_CIP13,45,0.0018513825301898778
ATC1,0,0
lib_atc1,0,0
ATC2,0,0
lib_atc2,0,0
ATC3,0,0
lib_atc3,0,0
ATC4,0,0
ATC5,0,0
lib_atc5,0,0
CIP13,0,0
TOP_GEN,0,0
AGE,0,0
SEXE,0,0
BEN_REG,0,0
PSP_SPE,0,0
BOITES,0,0
REM,0,0
BSE,0,0
lib_top_gen,0,0
tranche_age,0,0
sexe,0,0
prescripteur,0,0
