cip13,lib_cip13,remboursement_total,base_remboursement_totale,boites_delivrees,remboursement_moyen,nb_observations
3400930202074,VYNDAQEL 61 MG CAPSULE MOLLE 30,1058651175.9399999,1074712070.47,146327,7153048.4860810805,148
3400926784102,ELIQUIS 5MG CPR 60,583730626.11,624094173.21,10541072,500197.62305912597,1167
3400930211380,KAFTRIO 100/50/75MG CPR 56,402681059.08,404409504.47,44076,2960890.1402941174,136
3400930117644,XTANDI 40MG CPR 112,402341496.36,403185881.12,140045,2915518.0895652175,138
3400926649975,FORXIGA 10MG CPR 30,387863475.11,399376976.69,10674193,346926.18525044725,1118
3400930141861,NA,318638969.3,437284767.9,2318692,358021.3138202247,890
3400926783501,EYLEA 4 MG SOL INJ SER 1,318194623.06,318936187.54,559353,1078625.8408813558,295
3400930199190,DUPIXENT 300MG SOL INJ STYLO 2ML 2,301329301.45,378256381.48,318184,678669.5978603604,444
3400941945670,ELIQUIS 2.5MG CPR 60,299642808.48,321352555.46,5429349,319448.6231130064,938
3400930047651,TAGRISSO 80 MG CPR 30,277048460.51,278382357.75,56421,1465864.8704232804,189
3400930303122,NA,256671244.99,257163544.37,389714,1060624.9792975206,242
3400930151105,"OZEMPIC 1 MG, SOLUTION INJECTABLE EN 1",242649927.77,251541256.82,3238880,311089.6509871795,780
3400930277652,ERLEADA 240 MG CPR 30,234605556.31,234930891.68,92363,1804658.1254615386,130
3400930159484,KALYDECO 150 MG CPR 28,210186558.57999998,211076774.58,40754,1534208.456788321,137
3400930028582,REPATHA 140 MG SOL INJ STYLO 1,190207299.56,194990645.98,899548,556161.6946198831,342
3400930203545,NUBEQA 300MG CPR 112,162633041.56,162905227.88,48876,1280575.1303937007,127
3400930156162,IMBRUVICA 420 MG CPR 30,162101544.22,162414659.8,33940,1157868.173,140
3400930077917,VENCLYXTO 100 MG CPR 112,151752403.28,152031340.76,30959,1068678.8963380281,142
3400926863036,BEXSERO SUSP INJ 1,150396648.62,231696883.81,2779117,211231.24806179776,712
3400927671197,"LUCENTIS 1,65 MG SOL INJ SER 1",143877961.69,144162524.64,339823,553376.7757307693,260
