cip13,lib_cip13,remboursement_total,boites_delivrees
3400930202074,VYNDAQEL 61 MG CAPSULE MOLLE 30,1058651175.9399999,NA
3400926784102,ELIQUIS 5MG CPR 60,583730626.11,10541072
3400930211380,KAFTRIO 100/50/75MG CPR 56,402681059.08,NA
3400930117644,XTANDI 40MG CPR 112,402341496.36,NA
3400926649975,FORXIGA 10MG CPR 30,387863475.11,10674193
3400930141861,NA,318638969.3,NA
3400926783501,EYLEA 4 MG SOL INJ SER 1,318194623.06,NA
3400930199190,DUPIXENT 300MG SOL INJ STYLO 2ML 2,301329301.45,NA
3400941945670,ELIQUIS 2.5MG CPR 60,299642808.48,NA
3400930047651,TAGRISSO 80 MG CPR 30,277048460.51,NA
3400930303122,NA,256671244.99,NA
3400930151105,"OZEMPIC 1 MG, SOLUTION INJECTABLE EN 1",242649927.77,NA
3400930277652,ERLEADA 240 MG CPR 30,234605556.31,NA
3400930159484,KALYDECO 150 MG CPR 28,210186558.57999998,NA
3400930028582,REPATHA 140 MG SOL INJ STYLO 1,190207299.56,NA
3400930203545,NUBEQA 300MG CPR 112,162633041.56,NA
3400930156162,IMBRUVICA 420 MG CPR 30,162101544.22,NA
3400930077917,VENCLYXTO 100 MG CPR 112,151752403.28,NA
3400926863036,BEXSERO SUSP INJ 1,150396648.62,NA
3400927671197,"LUCENTIS 1,65 MG SOL INJ SER 1",143877961.69,NA
3400935955838,NA,NA,156412584
3400941533969,NA,NA,62882790
3400936158832,NA,NA,30692515
3400935294227,NA,NA,26472213
3400934744198,NA,NA,19273702
3400935291783,NA,NA,16989777
3400932679041,NA,NA,16652401
3400949605538,NA,NA,16023614
3400932320189,NA,NA,15061088
3400935154958,NA,NA,13907932
3400934438738,NA,NA,12368440
3400934507786,NA,NA,12138834
3400930186947,NA,NA,11577875
3400934615467,NA,NA,11550315
3400935887559,NA,NA,10577711
3400930274927,NA,NA,9089287
3400932905997,NA,NA,9037524
3400930986080,NA,NA,8922364
