region,nb_medicaments,remboursement_total,base_remboursement_totale,boites_delivrees,part_remboursement,part_boites
Ile-de-France,12411,4304219048,4959401506.24,351702063,15.457208801534103,15.115431818557191
Auvergne-Rhône-Alpes,12123,3049248508.87,3466660135.06,249083310,10.950388528964593,10.705088725753493
Aquitaine-Limousin-Poitou-Charentes,12067,2511199085.71,2870642389.44,211773080,9.018158271493483,9.101571723637736
Languedoc-Roussillon-Midi-Pyrénées,12082,2502382134.94,2857037114.83,207245315,8.986495048147992,8.906977689800778
Nord-Pas-de-Calais-Picardie,12066,2378604116.44,2759523265.05,216845512,8.541986379871998,9.319574425686907
Provence-Alpes-Côte d'Azur et Corse,12199,2339973247.47,2660048179.2,204509751,8.403256124465628,8.789408771453832
Alsace-Champagne-Ardenne-Lorraine,11983,2223922028.84,2559007447.06,188689851,7.98649575562011,8.109501983911352
Pays de la Loire,11527,1446243244.73,1648257324.21,113644239,5.1937142515986086,4.884195820529827
Normandie,11626,1358990271.17,1559943610.8600001,117860196,4.8803734536904875,5.065388987382161
Bretagne,11570,1338954138.68,1528892541.62,108859428,4.808420172498389,4.678554477916542
Inconnu,12006,1292997154.94,1441475371.6,113930556,4.643380548437442,4.896501136725809
Bourgogne-Franche-Comté,11547,1203792225.15,1370030689.64,99522401,4.323029931864867,4.277268247740156
Centre-Val de Loire,11618,1014270604.32,1157069627.4,83543951,3.6424244067032943,3.590547307063658
Régions et Départements d'outre-mer,10678,881234501.03,1000739835.53,59565177,3.164668325109003,2.559988883840556
