cip13,lib_cip13,remboursement_total,boites_delivrees,cout_moyen_boite
3400930150948,"MYALEPTA 11,3MG PDR SOL INJ 30",4262468.46,81,52623.067407407405
3400930031162,STRENSIQ 80MG SOL INJ 12,10607462.5,210,50511.72619047619
3400930216316,GIVLAARI 189MG/ML INJ FL1ML 1,2037703.55,55,37049.15545454546
3400930162781,"MYALEPTA 5,8MG PDR SOL INJ 30",2013849.1500000001,79,25491.761392405064
3400930243671,ASPAVELI 1 080 MG SOL INJ 8,4412993.4,176,25073.826136363637
3400930258064,SUNLENCA 464MG SOL INJ 2,380351.82,18,21130.656666666666
3400930237083,BYLVAY 1200 MICROG GELULES 30,5945409.68,282,21083.01304964539
3400927626074,LOJUXTA 10MG GELULE 28,1710634.98,83,20610.06
3400927722097,REVESTIVE 5MG PDR ET SOL INJ 28,29872425.16,1783,16754.02420639372
3400930060827,GALAFOLD 123 MG GELULE 14,29686853.709999997,1951,15216.224351614555
3400930190784,XOSPATA 40MG CPR 84,25087440.51,1650,15204.5094
3400930000885,HARVONI 90MG/400MG CPR 28,396316.16,32,12384.88
3400930110287,VOSEVI 400/100/100 MG CPR 28,2335128.16,190,12290.148210526317
3400930108765,MAVIRET 100/40MG CPR 84,48881887.26,4217,11591.626099122599
3400930141441,HEMLIBRA 150 MG SOL INJ FL 1 ML 1,87999593.71,7659,11489.69757279018
3400930113608,RYDAPT 25MG CAPS 112,22581078.88,1978,11416.1167239636
3400930212608,TAKHZYRO 300 MG SOL INJ SER 2 ML 1,62590877.69,5492,11396.73665149308
3400926606114,KALYDECO 150 MG CPR 56,12613510.36,1121,11252.016378233719
3400930041000,KALYDECO 75 MG GLE SACHET 56,2305682.52,205,11247.231804878049
3400930227381,ORLADEYO 150MG GELULE 28,8974438.74,799,11232.088535669587
