cip13,lib_cip13,remboursement_total,rang,remboursement_cumule,part_cumulee
3400930202074,VYNDAQEL 61 MG CAPSULE MOLLE 30,617617787.35,1,617617787.35,2.527069831189906
3400926783501,EYLEA 4 MG SOL INJ SER 1,529186812.86,2,1146804600.21,4.692311923034339
3400926784102,ELIQUIS 5MG CPR 60,457132928.62,3,1603937528.83,6.5627354380624805
3400930211380,KAFTRIO 100/50/75MG CPR 56,406459657.87,4,2010397186.7,8.225822156154308
3400930117644,XTANDI 40MG CPR 112,381235797.07,5,2391632983.77,9.785701908774316
3400927671197,"LUCENTIS 1,65 MG SOL INJ SER 1",367591207.24,6,2759224191.01,11.289752907714316
3400937484954,STELARA 90 MG SOL INJ SER 1,267393650.21,7,3026617841.2200003,12.383831543947812
3400941945670,ELIQUIS 2.5MG CPR 60,253188799.73,8,3279806640.95,13.419789041445013
3400930047651,TAGRISSO 80 MG CPR 30,246130570.44,9,3525937211.39,14.426866803504366
3400921923056,XARELTO 20 MG CPR 28,243607782.37,10,3769544993.76,15.423622224218047
3400930159484,KALYDECO 150 MG CPR 28,230239533.59,11,3999784527.35,16.365679579429553
3400930167267,ERLEADA 60MG CPR 120,227721996.1,12,4227506523.45,17.29743607678014
3400930156162,IMBRUVICA 420 MG CPR 30,212125408.16,13,4439631931.61,18.16537694631051
3400926649975,FORXIGA 10MG CPR 30,194046352.96,14,4633678284.57,18.959344824926276
3400939212494,XOLAIR 150 MG SOL INJ SER 1,161937625.74,15,4795615910.31,19.62193534113848
3400930003763,"TRULICITY 1,5 MG SOL INJ STYLO 4",160927086.25,16,4956542996.56,20.280391093244617
3400930199190,DUPIXENT 300MG SOL INJ STYLO 2ML 2,160198159.31,17,5116741155.87,20.935864338504373
3400935955838,DOLIPRANE 1G CPR 8,147959841.06,18,5264700996.93,21.541262787559226
3400930042687,HUMIRA 40 MG SOL INJ STYLO + TAMP 2,140998358.04,19,5405699354.97,22.11817735211382
3400930056202,GARDASIL 9 SUSP INJ SER + 2 AIG 1,137364949.41,20,5543064304.38,22.680225315476996
3400930151105,"OZEMPIC 1 MG, SOLUTION INJECTABLE EN 1",131239231.41,21,5674303535.79,23.21720904418042
3400930153031,BIKTARVY 50/200/25MG CPR 30,128941053.97,22,5803244589.76,23.744789457444593
3400930141434,HEMLIBRA 105 MG SOL INJ FL 0.7 ML 1,116329126.17,23,5919573715.93,24.22076639861112
3400930075302,IBRANCE 125 MG GELULE 21,116220211.27,24,6035793927.2,24.696297699183095
3400930182550,DOVATO 50MG/300MG CPR 30,107897406.58,25,6143691333.78,25.13777507664313
3400930077917,VENCLYXTO 100 MG CPR 112,102182659.99,26,6245873993.77,25.55586976662837
3400930144213,LYNPARZA 150 MG CPR 8,99815294.9,27,6345689288.67,25.96427805019707
3400926863036,BEXSERO SUSP INJ 1,98576685.05,28,6444265973.72,26.36761838778258
3400930229385,"EVRYSDI 0,75MG/ML SOL BUV FL + SER 1",97071153.79,29,6541337127.51,26.76479863298574
3400930075296,IBRANCE 100MG GELULE 21,90143563.13,30,6631480690.64,27.13363366903481
3400921922684,XARELTO 15 MG CPR 28,90077470.29,31,6721558160.93,27.502198276955937
3400930002452,JAKAVI 10 MG CPR 56,88980294.37,32,6810538455.3,27.866273635662203
3400930141441,HEMLIBRA 150 MG SOL INJ FL 1 ML 1,87999593.71,33,6898538049.01,28.226336320021854
3400930037911,ENTRESTO 49MG/ 51MG CPR 56,86657914.72,34,6985195963.7300005,28.58090933655099
3400927499890,AUBAGIO 14MG CPR 28,86365678.98,35,7071561642.71,28.934286629548073
3400930037904,ENTRESTO 24 MG/26 MG CPR 28,86089015.85,36,7157650658.56,29.286531916531818
