cip13,lib_cip13,remboursement_total,boites_delivrees,cout_moyen_boite
3400930260494,AMVUTTRA 25 MG SOL INJ SRG 1,115520235.5,1801,64142.27401443642
3400930150948,"MYALEPTA 11,3MG PDR SOL INJ 30",7714812.57,146,52841.18198630137
3400930031162,STRENSIQ 80MG SOL INJ 12,10138832.15,220,46085.600681818185
3400930217443,"OXLUMO 94,5 MG/0,5ML SOL INJ 1",16067414.78,375,42846.43941333333
3400930243671,ASPAVELI 1 080 MG SOL INJ 8,12721591.48,524,24277.846335877864
3400930264959,"LIVMARLI 9,5 MG/ML SOL BUV 1",17862608.92,766,23319.332793733684
3400930237083,BYLVAY 1200 MICROG GELULES 30,18808305.23,826,22770.345314769977
3400930243640,QINLOCK 50 MG CPR 90,18876764.95,1026,18398.406384015594
3400930214756,AYVAKYT 100 MG CPR 30,6853576.84,413,16594.61704600484
3400930272282,NA,7286541.24,453,16085.08
3400930248935,AYVAKYT 25 MG CPR 30,21171892.53,1495,14161.801023411372
3400930281222,NA,21663460.68,1551,13967.41500967118
3400930227381,ORLADEYO 150MG GELULE 28,11983420.540000001,1074,11157.747243947859
3400930271599,NA,8581727.29,802,10700.408092269325
3400926606114,KALYDECO 150 MG CPR 56,9152003.6,918,9969.502832244008
3400930113608,RYDAPT 25MG CAPS 112,20768377.05,2085,9960.852302158273
3400930280355,NA,9137393.97,1008,9064.874970238096
3400930280348,NA,10643517.78,1181,9012.292785774767
3400930236703,"VOXZOGO 1,2 MG, POUDRE ET SOLVANT PO 1",8942869.75,1255,7125.792629482072
3400930111833,MAVENCLAD 10 MG CPR 6,14076454.870000001,2076,6780.565929672448
3400930254042,ZEJULA 100 MG CPR 84,6521862.45,1048,6223.1511927480915
3400930198360,"ISTURISA 10 MG, COMPRIME PELLICULE 60",11266463.72,1965,5733.569323155217
3400930198353,"ISTURISA 5 MG, COMPRIME PELLICULE 60",9903785.06,1797,5511.288291597107
3400930023877,SOMAVERT 30MG PDR ET SOL INJ 30,7035987.69,1430,4920.2711118881125
3400930258101,SCEMBLIX 20MG CPR 60,6669702.17,1419,4700.283417899929
3400930230176,KOSELUGO 10 MG GELULE 60,8861523.55,1950,4544.371051282052
3400930111819,MAVENCLAD 10 MG CPR 4,6975824.93,1538,4535.646898569571
3400930047613,ICLUSIG 30 MG CPR 30,6928366.68,1651,4196.466795881284
3400926762568,XALKORI 200 MG GELULE 60,7288257.78,2003,3638.6708836744883
