cip13,lib_cip13,remboursement_total,boites_delivrees,cout_moyen_boite
3400938269185,DICLOFENAC EGL 1% GEL 1,3.25,11,0.29545454545454547
3400935066169,POLERY ENF SIROP 1,6.529999999999999,26,0.2511538461538461
3400936450455,ZOLPIDEM VIATRIS 10MG CPR 7,6.72,17,0.3952941176470588
3400930248461,NA,6.73,12,0.5608333333333334
3400935025128,PHLOROGLUCINOL ARL 80MG CPR DISP 10,6.859999999999999,32,0.21437499999999998
3400934008009,ECONAZOLE L X.O 1% CREME TUBE 30G 1,8.94,15,0.596
3400927846847,OMEPRAZOLE ZTL 20MG GELULE 7,8.950000000000001,11,0.8136363636363637
3400927568022,OMEPRAZOLE ZTL 20MG GELULE 7,9.19,11,0.8354545454545454
3400938524369,NA,10.12,11,0.9199999999999999
3400930076163,MUPIROCINE PFA 2 % POMMADE 1,10.2,11,0.9272727272727272
3400921760453,"DESLORATADINE GNR 0,5MG/ML BUV 150ML 1",10.26,13,0.7892307692307692
3400932422128,NA,10.51,11,0.9554545454545454
3400937456289,ALGINATE BICAR SODIUM EG BUV 1,11.06,22,0.5027272727272728
3400941918308,CLAREAL 75MCG CPR 28,11.69,13,0.8992307692307692
3400938942224,KETOCONAZOLE ZEN 2% GEL UNIDOSE 1,11.79,16,0.736875
3400936971028,NA,12.08,28,0.43142857142857144
3400936482852,NA,12.370000000000001,14,0.8835714285714287
3400938288407,WYSTAMM 10MG CPR 15,12.48,17,0.7341176470588235
3400931096542,TUSSIPAX SOL BUV 1,12.53,15,0.8353333333333333
3400922474144,ANTIGONE 75MCG CPR 28,12.55,13,0.9653846153846154
3400933775735,LOPERAMIDE SUN 2MG GELULE 20,13.1,14,0.9357142857142857
3400930417034,FUCIDINE 2% POMMADE 1,13.55,15,0.9033333333333334
3400935439079,CETIRIZINE CRT 10MG CPR 15,13.99,22,0.6359090909090909
3400936596047,ECONAZOLE SDZ 1% EMULS FL 30G 1,15.08,17,0.8870588235294118
3400926955786,LANSOPRAZOLE ZYF 30MG GELULE 7,16.06,16,1.00375
3400932807093,TRINORDIOL CPR SUREMBALLE 21,16.39,15,1.0926666666666667
3400938524598,KETOPROFENE CRISTERS 50MG GELULE 24,16.43,16,1.026875
3400930373576,ESIDREX 25 MG CPR 20,16.459999999999997,17,0.9682352941176469
3400930095584,CHOLECALCIFEROL LABO X.O 2.5MG BUV 1,16.54,17,0.9729411764705882
3400930250983,MOMETASONE ALT 50 MICROG SUSP N 140 140,17.39,13,1.3376923076923077
3400932931842,FUCIDINE 2% CREME 1,18.19,24,0.7579166666666667
3400930072110,NA,18.759999999999998,22,0.8527272727272727
3400935817303,"ALPRAZOLAM EVO 0,25MG CPR 30",18.759999999999998,17,1.1035294117647059
3400922094311,NA,18.8,14,1.342857142857143
3400936736276,AMOXICILLINE ZEN 500 MG BUV 60ML 1,19.47,18,1.0816666666666666
3400933825973,BROMAZEPAM RPG 6MG CPR 30,19.52,14,1.3942857142857144
3400927822483,ESOMEPRAZOLE EGL 40MG CPR 14,19.6,15,1.3066666666666669
3400937667838,"TIMOLOL SDZ 0,50% COLLYRE 3ML 1",19.67,15,1.3113333333333335
3400931994046,COLPOTROPHINE 1% CREME VAGINALE 1,19.74,17,1.1611764705882353
3400936862685,OMEPRAZOLE VIATRIS 10MG GELULE 14,19.75,17,1.161764705882353
3400931698289,"DODECAVIT 0,5 MG/ML SOL INJ 6",20.330000000000002,13,1.5638461538461539
3400939541488,OMEPRAZOLE SDZ 20MG GELULE 7,20.58,24,0.8574999999999999
3400938863468,PARACETAMOL ARW 300MG PDR ORALE SACH 12,20.79,27,0.77
3400933986124,NUREFLEX 200MG CPR 30,21.2,23,0.9217391304347826
3400935746061,ALLOPURINOL ARW 100MG CPR 30,22.02,20,1.101
3400936483682,NA,22.06,14,1.5757142857142856
3400931112662,VALIUM ROCHE 2MG CPR 40,22.159999999999997,32,0.6924999999999999
3400938962383,CETIRIZINE RPG 10MG CPR 15,22.2,27,0.8222222222222222
3400937800914,"ALPRAZOLAM ZYD 0,25MG CPR 30",22.32,22,1.0145454545454546
3400935674289,NA,22.39,14,1.5992857142857144
3400941607981,PANTOPRAZOLE ARL 20 MG CPR 14,22.630000000000003,13,1.740769230769231
3400921836547,RABEPRAZOLE ZEN 10MG CPR 14,22.74,12,1.8949999999999998
3400928099860,"FLUZONE HD INJ SRG0,7ML S/A 10",22.86,12,1.905
3400927817861,OMEPRAZOLE ZTL 10MG GELULE 14,22.95,16,1.434375
3400938232394,DOMPERIDONE BGA 10MG CPR DISP 30,23.01,39,0.5900000000000001
3400937053914,AMOXICILLINE ALM 500MG/5ML PDR FL 1,23.130000000000003,19,1.2173684210526317
3400938133769,NA,23.16,20,1.158
3400938340884,NA,23.32,11,2.12
3400936736337,AMOXICILLINE ZTV 500MG GELULE 12,23.630000000000003,27,0.8751851851851853
3400949970421,RABEPRAZOLE SDZ 20MG CPR 14,23.650000000000002,15,1.5766666666666669
3400932345434,AMODEX 500MG/5ML PDR ORALE FL 1,24.35,20,1.2175
3400941610073,PANTOPRAZOLE ARL 40 MG CPR 14,24.419999999999998,15,1.628
3400933143312,SELOKEN 100MG CPR 28,24.57,14,1.7550000000000001
3400935324016,"LACTULOSE EG 66 P.100 1 FLACON DE 200 ML , SOLUTIO",24.759999999999998,27,0.917037037037037
3400949002498,ZOXAN LP 4MG CPR (UK) 2 28,24.89,13,1.9146153846153846
3400932234790,ADALATE 10 MG CAPSULE 30,25.29,14,1.8064285714285713
3400941602900,"ACIDE FOLIQUE ARROW 5 MG 1 BOITE DE 20, COMPRIMES",25.74,26,0.99
3400936808577,ECONAZOLE SDZ 1% SOL FL 30G 1,25.97,18,1.4427777777777777
3400932403028,VICTAN 2MG CPR 30,26.1,14,1.8642857142857143
